,date,precipitation,MA_2
0,1/31/98,339.6,
1,2/28/98,226.3,283
2,3/31/98,68.7,147.5
3,4/30/98,37.2,53
4,5/31/98,78.2,57.7
5,6/30/98,3,40.6
6,7/31/98,0,1.5
7,8/31/98,43.2,21.6
8,9/30/98,39.4,41.3
9,10/31/98,105.6,72.5
10,11/30/98,338.4,222
11,12/31/98,231.9,285.2
12,1/31/99,237.3,234.6
13,2/28/99,94.7,166
14,3/31/99,246.4,170.6
15,4/30/99,56.7,151.6
16,5/31/99,4,30.4
17,6/30/99,2.4,3.2
18,7/31/99,0,1.2
19,8/31/99,0,0
20,9/30/99,43.8,21.9
21,10/31/99,84,63.9
22,11/30/99,279.3,181.7
23,12/31/99,294.1,286.7
24,1/31/00,469.5,381.8
25,2/29/00,194,331.8
26,3/31/00,131.4,162.7
27,4/30/00,55.1,93.3
28,5/31/00,1.5,28.3
29,6/30/00,0,0.8
30,7/31/00,2.8,1.4
31,8/31/00,18.5,10.7
32,9/30/00,49.4,34
33,10/31/00,69.8,59.6
34,11/30/00,268,168.9
35,12/31/00,316.4,292.2
36,1/31/01,165.9,241.2
37,2/28/01,64.7,115.3
38,3/31/01,138.9,101.8
39,4/30/01,19.2,79.1
40,5/31/01,46.9,33.1
41,6/30/01,0,23.5
42,7/31/01,10.9,5.5
43,8/31/01,42.5,26.7
44,9/30/01,56.5,49.5
45,10/31/01,162.4,109.5
46,11/30/01,329.9,246.2
47,12/31/01,421.4,375.7
48,1/31/02,285.5,353.5
49,2/28/02,303.7,294.6
50,3/31/02,72,187.9
51,4/30/02,53.1,62.6
52,5/31/02,13.4,33.3
53,6/30/02,0,6.7
54,7/31/02,5,2.5
55,8/31/02,2,3.5
56,9/30/02,80.5,41.3
57,10/31/02,32.5,56.5
58,11/30/02,245.5,139
59,12/31/02,395.3,320.4
60,1/31/03,781.6,588.4
61,2/28/03,182.9,482.3
62,3/31/03,178.7,180.8
63,4/30/03,26.2,102.5
64,5/31/03,20.2,23.2
65,6/30/03,0,10.1
66,7/31/03,0,0
67,8/31/03,10.4,5.2
68,9/30/03,12.1,11.3
69,10/31/03,22,17.1
70,11/30/03,212.1,117.1
71,12/31/03,277.3,244.7
72,1/31/04,502.9,390.1
73,2/29/04,363.9,433.4
74,3/31/04,105.6,234.8
75,4/30/04,184.9,145.3
76,5/31/04,20.5,102.7
77,6/30/04,17.7,19.1
78,7/31/04,40,28.9
79,8/31/04,0,20
80,9/30/04,0,0
81,10/31/04,44.3,22.2
82,11/30/04,157.2,100.8
83,12/31/04,499.8,328.5
84,1/31/05,241,370.4
85,2/28/05,158.3,199.7
86,3/31/05,253.7,206
87,4/30/05,38.6,146.2
88,5/31/05,36,37.3
89,6/30/05,23.3,29.7
90,7/31/05,6.5,14.9
91,8/31/05,4.9,5.7
92,9/30/05,127.2,66.1
93,10/31/05,42.9,85.1
94,11/30/05,292.7,167.8
95,12/31/05,393,342.9
96,1/31/06,144.2,268.6
97,2/28/06,132.6,138.4
98,3/31/06,265,198.8
99,4/30/06,54.8,159.9
100,5/31/06,45.7,50.3
101,6/30/06,5.8,25.8
102,7/31/06,3.2,4.5
103,8/31/06,21.6,12.4
104,9/30/06,89.2,55.4
105,10/31/06,123.4,106.3
106,11/30/06,343.6,233.5
107,12/31/06,338.8,341.2
108,1/31/07,350.9,344.9
109,2/28/07,171.3,261.1
110,3/31/07,79.8,125.6
111,4/30/07,98,88.9
112,5/31/07,7,52.5
113,6/30/07,0,3.5
114,7/31/07,5.9,3
115,8/31/07,0,3
116,9/30/07,1.7,0.9
117,10/31/07,104,52.9
118,11/30/07,132.4,118.2
119,12/31/07,212.2,172.3
120,1/31/08,305.5,258.9
121,2/29/08,208.6,257.1
122,3/31/08,346.5,277.6
123,4/30/08,144,245.3
124,5/31/08,0.5,72.3
125,6/30/08,2.1,1.3
126,7/31/08,0,1.1
127,8/31/08,47.1,23.6
128,9/30/08,99.7,73.4
129,10/31/08,53.2,76.5
130,11/30/08,216.2,134.7
131,12/31/08,601.3,408.8
132,1/31/09,313.4,457.4
133,2/28/09,215.8,264.6
134,3/31/09,273.2,244.5
135,4/30/09,41.6,157.4
136,5/31/09,20.4,31
137,6/30/09,38.6,29.5
138,7/31/09,0.2,19.4
139,8/31/09,23.1,11.7
140,9/30/09,103.1,63.1
141,10/31/09,344.3,223.7
142,11/30/09,213.7,279
143,12/31/09,564.1,388.9
144,1/31/10,291.5,427.8
145,2/28/10,71,181.3
146,3/31/10,247.9,159.5
147,4/30/10,85.1,166.5
148,5/31/10,26.8,56
149,6/30/10,0.8,13.8
150,7/31/10,0,0.4
151,8/31/10,0,0
152,9/30/10,71,35.5
153,10/31/10,216.6,143.8
154,11/30/10,396.6,306.6
155,12/31/10,293.2,344.9
156,1/31/11,317.9,305.6
157,2/28/11,66.6,192.3
158,3/31/11,334.5,200.6
159,4/30/11,98.7,216.6
160,5/31/11,5,51.9
161,6/30/11,14.6,9.8
162,7/31/11,0,7.3
163,8/31/11,0,0
164,9/30/11,1.4,0.7
165,10/31/11,178.8,90.1
166,11/30/11,288.7,233.8
167,12/31/11,720,504.4
168,1/31/12,407.5,563.8
169,2/29/12,34.3,220.9
170,3/31/12,196.4,115.3
171,4/30/12,111.3,153.8
172,5/31/12,61.1,86.2
173,6/30/12,17,39
174,7/31/12,0,8.5
175,8/31/12,0,0
176,9/30/12,22.8,11.4
177,10/31/12,32.1,27.4
178,11/30/12,310,171
179,12/31/12,143,226.5
180,1/31/13,426.8,284.9
181,2/28/13,75.4,251.1
182,3/31/13,127.9,101.6
183,4/30/13,99.4,113.6
184,5/31/13,46.7,73
185,6/30/13,23.1,34.9
186,7/31/13,0,11.5
187,8/31/13,0,0
188,9/30/13,32.8,16.4
189,10/31/13,137.7,85.2
190,11/30/13,108.2,122.9
191,12/31/13,495,301.6
192,1/31/14,103.9,299.4
193,2/28/14,22.9,63.4
194,3/31/14,73.7,48.3
195,4/30/14,235.8,154.7
196,5/31/14,18.5,127.1
197,6/30/14,13.1,15.8
198,7/31/14,48.1,30.6
199,8/31/14,3.3,25.7
200,9/30/14,1.8,2.5
201,10/31/14,69.4,35.6
202,11/30/14,215.5,142.4
203,12/31/14,138.1,176.8
204,1/31/15,103.8,120.9
205,2/28/15,263.8,183.8
206,3/31/15,237.2,250.5
207,4/30/15,78.7,157.9
208,5/31/15,96.7,87.7
209,6/30/15,5,50.8
210,7/31/15,12.4,8.7
211,8/31/15,0,6.2
212,9/30/15,43.5,21.7
213,10/31/15,67.5,55.5
214,11/30/15,184.3,125.9
215,12/31/15,152.3,168.3
216,1/31/16,328.9,240.6
217,2/29/16,175.7,252.3
218,3/31/16,113.1,144.4
219,4/30/16,26.2,69.6
220,5/31/16,0,13.1
221,6/30/16,75.3,37.6
222,7/31/16,0,37.6
223,8/31/16,0.4,0.2
224,9/30/16,65.4,32.9
225,10/31/16,70.7,68
226,11/30/16,273,171.8
227,12/31/16,244.6,258.8
228,1/31/17,107,175.8
229,2/28/17,142.6,124.8
230,3/31/17,106.5,124.5
231,4/30/17,51.6,79
232,5/31/17,20.8,36.2
233,6/30/17,19.8,20.3
234,7/31/17,0.5,10.1
235,8/31/17,0,0.2
236,9/30/17,46.6,23.3
237,10/31/17,148.2,97.4
238,11/30/17,185.6,166.9