,Year,Value
0,1961,13123
1,1962,13048
2,1963,13092
3,1964,11606
4,1965,13809
5,1966,13066
6,1967,13828
7,1968,13369
8,1969,13149
9,1970,14421
10,1971,13393
11,1972,14130
12,1973,14295
13,1974,15248
14,1975,15048
15,1976,15967
16,1977,16322
17,1978,12197
18,1979,14406
19,1980,17790
20,1981,18330
21,1982,17308
22,1983,17496
23,1984,17610
24,1985,18662
25,1986,16486
26,1987,19843
27,1988,18775
28,1989,20582
29,1990,18735
30,1991,18084
31,1992,22828
32,1993,25321
33,1994,23629
34,1995,26005
35,1996,24761
36,1997,26228
37,1998,27964
38,1999,27765
39,2000,27182
40,2001,34019
41,2002,30559
42,2003,37273
43,2004,33671
44,2005,30403
45,2006,33823
46,2007,37852
47,2008,40800
48,2009,37145
49,2010,43667
50,2011,42107
51,2012,50057
52,2013,52536
53,2014,51761
54,2015,55353
55,2016,42877
56,2017,56183
57,2018,51044